"program_from","program_to","subsample","N","coefficient","pre_estimate","pre_dr_estimate","to_estimate","se","pre_dr_se","to_se","p_value","pre_dr_p_value","to_p_value"
"ehs-full","abc","FALSE",1267,0.267769516061933,0.168029158149762,0.181561473244982,0.209880666184889,0.208989689652324,0.142926955912371,0.134473859996526,0.200338207043096,0.203974397209845,0.122
"ehs-full","abc","FALSE",1267,0.267769516061933,0.199387390388058,0.213573215593697,0.230632229456189,0.208989689652324,0.149999850635114,0.142046415224269,0.200338207043096,0.154497757919694,0.0900000000000001
"ehs-full","abc","TRUE",348,0.548822205271564,0.273861421036124,0.254702866005484,0.306896415886907,0.360934359497606,0.297617970922222,0.233114552805865,0.129283681175232,0.392105800787476,0.219
"ehsmixed_center","abc","FALSE",768,0.276346246271341,0.277156154562593,0.29113440274596,0.386896824742209,0.163287121017944,0.137239503112266,0.134996604982484,0.0909774176220489,0.0338915123137157,0.0050000000000001
"ehsmixed_center","abc","FALSE",768,0.276346246271341,0.2946875557602,0.305947077112001,0.313588341168099,0.163287121017944,0.141594851251685,0.136741982640024,0.0909774176220489,0.0307168384870678,0.0150000000000001
"ehsmixed_center","abc","TRUE",245,0.626743570705732,0.625234611118139,0.612791342925359,0.633088292032883,0.282469956062418,0.253385217857468,0.21896603663029,0.0274250067840837,0.0155881633944185,0.0040000000000001
"ehscenter","abc","FALSE",375,0.30925266641635,0.536187652740087,0.571534062346739,0.723096957104263,0.164814115910022,0.154823443445899,0.195968312346432,0.0613847502731564,0.000222916593429515,1e-16
"ehscenter","abc","FALSE",375,0.30925266641635,0.566898197686202,0.555198793886534,0.577790056319139,0.164814115910022,0.167058856359579,0.169653244679608,0.0613847502731564,0.000889360970360023,0.0050000000000001
"ehscenter","abc","TRUE",110,1.16884742318911,1.29309291335657,1.17981205935577,1.26883888224083,0.364595179298751,0.351867404946566,0.357301242669966,0.00177133091088875,0.000799401725563926,1e-16
"abc","abc","FALSE",103,1.1008203404528,1.19069689541253,1.1935321296687,1.19194341000393,0.202109551167638,0.211242621902391,0.185932401555955,3.62515245713322e-07,1.60397845087323e-08,1e-16
"abc","abc","FALSE",103,1.1008203404528,1.21695308046888,1.21488242273885,1.21698944804904,0.202109551167638,0.215380489311461,0.193015603157878,3.62515245713322e-07,1.69425558457461e-08,1e-16
"abc","abc","TRUE",98,1.06183275118708,1.17366036899442,1.14908058005749,1.17094136740444,0.204517181306776,0.225744856948424,0.208965697509428,1.16333752527623e-06,3.57735277273127e-07,1e-16
